,Province,Gem. vraagprijs,%Δ Vraagprijs (t.o.v vorige maand),Verkochte woningen,%Δ Verkochte woningen (t.o.v vorige maand),Gem. m2 prijs,%Δ M2 prijs (t.o.v vorige maand),% Vraagprijs overboden,%Δ Overboden (t.o.v vorige maand),Besteedbaar inkomen (per huishouden)
0,Noord-Holland,"€ 437,000",                16.53%            ,812,                -33.71%            ,"€ 4,508",                10.76%            ,12.66%,                1.08%            ,"€ 36,200"
1,Zuid-Holland,"€ 365,000",                7.67%            ,1094,                -43.58%            ,"€ 3,630",                6.17%            ,10.21%,                0.77%            ,"€ 35,800"
2,Zeeland,"€ 275,000",                0.09%            ,145,                -44.44%            ,"€ 2,663",                3.62%            ,8.13%,                0.13%            ,"€ 36,900"
3,Noord-Brabant,"€ 365,000",                7.67%            ,635,                -50.20%            ,"€ 3,218",                6.10%            ,7.87%,                0.88%            ,"€ 38,100"
4,Utrecht,"€ 439,000",                14.03%            ,523,                -17.77%            ,"€ 4,200",                4.09%            ,11.97%,                0.78%            ,"€ 39,500"
5,Flevoland,"€ 340,000",                4.62%            ,127,                -46.41%            ,"€ 2,970",                0.34%            ,14.71%,                1.08%            ,"€ 39,500"
6,Friesland,"€ 289,000",                3.58%            ,286,                -19.89%            ,"€ 2,446",                -1.13%            ,10.64%,                1.94%            ,"€ 34,900"
7,Groningen,"€ 255,000",                13.33%            ,282,                -16.07%            ,"€ 2,592",                8.41%            ,15.76%,                1.33%            ,"€ 30,600"
8,Drenthe,"€ 299,750",                1.61%            ,208,                -32.03%            ,"€ 2,475",                0.69%            ,10.49%,                1.41%            ,"€ 37,100"
9,Overijssel,"€ 300,000",                0.67%            ,392,                -24.47%            ,"€ 2,732",                5.65%            ,9.84%,                1.38%            ,"€ 36,900"
10,Gelderland,"€ 360,000",                7.46%            ,629,                -39.23%            ,"€ 3,128",                2.42%            ,10.55%,                0.49%            ,"€ 37,500"
11,Limburg,"€ 279,000",                1.45%            ,324,                -42.86%            ,"€ 2,475",                5.27%            ,8.87%,                0.73%            ,"€ 34,800"
